Ind,mnm1_sd,mnm2_sd,mnm3_sd,mnp4_sd,mxm1_sd,mxm2_sd,mxm3_sd,mxp3_sd,mxp4_sd,mnm1av,mnm2av,mnm3av,mnp4av,mxm1av,mxm2av,mxm3av,mxp3av,mxp4av,sex,dimension
M10,-0.334,-0.275000000000004,-0.102,-0.356999999999998,-0.0849999999999991,-0.444000000000003,-0.127000000000001,NA,NA,8.729,11.5695,12.429,8.1315,10.2745,12.022,12.0625,NA,NA,male,breadth
M11,-0.263000000000003,-0.394,-0.423999999999996,-0.11,-0.166,-0.353000000000002,-0.127000000000001,NA,-0.334,8.7925,10.571,10.769,7.184,10.286,11.7425,11.8125,NA,8.882,male,breadth
M12,-0.00299999999999834,0.306999999999997,-0.415999999999999,-0.202000000000001,-0.0449999999999964,-0.0549999999999979,-0.328000000000003,NA,-0.315999999999999,8.6285,10.6935,11.63,7.457,10.3645,12.2475,12.665,NA,9.427,male,breadth
M13,-0.145999999999999,-0.239999999999998,-0.504,-0.116999999999999,-0.131,-0.032,-0.179,0.286999999999999,-0.0530000000000008,8.729,11.478,11.086,7.4985,10.4935,11.496,10.7785,8.2705,9.3435,male,breadth
M14,-0.356,-0.650999999999998,-0.273999999999999,-0.115000000000001,NA,-0.593000000000002,NA,0.414,-0.233000000000001,8.892,10.7745,9.926,7.3365,NA,11.2265,NA,7.488,8.7685,male,breadth
M15,-0.105,-0.200000000000003,-0.394999999999998,-0.591,NA,NA,NA,0.341999999999999,NA,7.6845,9.648,10.2535,6.7115,NA,NA,NA,7.564,NA,male,breadth
M16,NA,NA,NA,NA,-0.193000000000001,-0.496000000000002,-0.0100000000000033,NA,-0.106000000000002,NA,NA,NA,NA,10.7045,12.848,13.062,NA,10.097,male,breadth
M17,NA,NA,NA,NA,-0.112000000000002,0.0690000000000008,0.167000000000002,NA,NA,NA,NA,NA,NA,10.953,11.0935,13.1495,NA,NA,male,breadth
M18,NA,NA,NA,NA,-0.0279999999999987,-0.369,-0.116999999999997,NA,-0.191999999999998,NA,NA,NA,NA,10.858,13.5185,13.9715,NA,9.747,male,breadth
M19,NA,NA,NA,NA,-0.385999999999997,-0.179000000000002,-0.171999999999999,-0.0310000000000024,-0.237000000000002,NA,NA,NA,NA,10.621,11.8615,11.892,8.2225,9.0585,male,breadth
M2,-0.482000000000001,-0.194000000000001,NA,-0.0860000000000003,NA,NA,-0.243000000000002,NA,NA,8.384,10.244,NA,6.846,NA,NA,12.1605,NA,NA,male,breadth
M20,NA,NA,NA,NA,-0.256999999999998,-0.248000000000001,-0.167000000000002,-0.505,0.125999999999999,NA,NA,NA,NA,10.4415,12.614,12.9425,8.1445,9.442,male,breadth
M21,NA,NA,NA,NA,NA,-0.452999999999999,-0.481999999999998,-0.230000000000002,NA,NA,NA,NA,NA,NA,11.3455,12.01,7.982,NA,male,breadth
M22,NA,NA,NA,NA,NA,-0.198000000000002,-0.415000000000001,-0.220999999999999,-0.642000000000001,NA,NA,NA,NA,NA,12.242,11.0135,7.5125,9.563,male,breadth
M23,NA,NA,NA,NA,-0.0419999999999998,-0.536,-0.234000000000002,-0.286,0.0139999999999976,NA,NA,NA,NA,11.698,13.898,14.253,8.75,9.987,male,breadth
M24,NA,NA,NA,NA,-0.156000000000002,-0.209,-0.0439999999999987,-0.0780000000000012,0.220000000000002,NA,NA,NA,NA,10.302,11.8335,12.297,7.735,9.34,male,breadth
M25,NA,NA,NA,NA,NA,-0.384,-0.347999999999999,NA,NA,NA,NA,NA,NA,NA,12.489,12.089,NA,NA,male,breadth
M26,NA,NA,NA,NA,NA,-0.270000000000003,-0.509,0.183,-0.548,NA,NA,NA,NA,NA,11.799,11.8875,8.2475,9.01,male,breadth
M27,NA,NA,NA,NA,NA,NA,-0.319000000000001,NA,NA,NA,NA,NA,NA,NA,NA,13.8545,NA,NA,male,breadth
M28,NA,NA,NA,NA,-0.0680000000000032,-0.591999999999999,NA,-0.372,-0.441999999999998,NA,NA,NA,NA,11.128,13.579,NA,8.52,10.038,male,breadth
M29,NA,NA,NA,NA,0.00899999999999679,-0.253,-0.0849999999999991,-0.0190000000000001,-0.24,NA,NA,NA,NA,10.9885,13.3855,13.7915,8.9775,9.903,male,breadth
M3,-0.193999999999997,NA,NA,-0.207000000000001,NA,NA,NA,NA,-0.350999999999999,8.884,NA,NA,7.7465,NA,NA,NA,NA,9.0695,male,breadth
M30,NA,NA,NA,NA,-0.430000000000001,-0.209,NA,-0.300000000000001,-0.140000000000002,NA,NA,NA,NA,10.529,11.2855,NA,8.541,9.675,male,breadth
M31,NA,NA,NA,NA,-0.0389999999999979,-0.273999999999997,-0.363,0.0830000000000002,-0.366,NA,NA,NA,NA,10.2855,10.943,12.4515,9.1285,9.387,male,breadth
M32,-0.133000000000001,-0.276999999999997,-0.335999999999999,-0.107999999999999,NA,NA,NA,NA,NA,8.9715,11.0665,12.581,8.112,NA,NA,NA,NA,NA,male,breadth
M33,NA,NA,NA,NA,-0.123000000000001,-0.458999999999998,-0.262,NA,NA,NA,NA,NA,NA,9.9805,11.9325,12.328,NA,NA,male,breadth
M34,NA,NA,NA,NA,-0.135000000000002,-0.263000000000002,0.180999999999999,NA,-0.315000000000001,NA,NA,NA,NA,10.0905,11.8505,10.9865,NA,9.2345,male,breadth
M35,NA,NA,NA,NA,0.0470000000000006,-0.155999999999997,0.128000000000002,NA,NA,NA,NA,NA,NA,9.5335,11.356,11.381,NA,NA,male,breadth
M36,NA,NA,NA,NA,-0.188000000000001,NA,NA,-0.465999999999999,-0.0309999999999988,NA,NA,NA,NA,10.054,NA,NA,8.375,8.6985,male,breadth
M37,NA,NA,NA,NA,-0.173999999999999,-0.414,-0.25,0.0170000000000012,NA,NA,NA,NA,NA,10.227,12.686,13.504,8.1585,NA,male,breadth
M38,NA,NA,NA,NA,-0.110999999999999,-0.0839999999999996,NA,-0.0909999999999993,-0.0989999999999984,NA,NA,NA,NA,10.1475,11.532,NA,7.6175,8.2575,male,breadth
M39,NA,NA,NA,NA,-0.542999999999999,-0.513999999999999,-0.27,0.170000000000001,-0.284000000000001,NA,NA,NA,NA,9.9195,11.646,11.729,7.647,8.679,male,breadth
