Ind,mnm1_sd,mnm2_sd,mnm3_sd,mnp4_sd,mxm1_sd,mxm2_sd,mxm3_sd,mxp3_sd,mxp4_sd,mnm1av,mnm2av,mnm3av,mnp4av,mxm1av,mxm2av,mxm3av,mxp3av,mxp4av,sex,dimension
M30,NA,NA,NA,NA,-0.404,-0.0589999999999993,NA,0.0160000000000009,NA,NA,NA,NA,NA,9.932,12.5815,NA,7.268,NA,male,length
M31,NA,NA,NA,NA,-0.0960000000000001,-0.0280000000000005,-0.879000000000001,-0.254999999999999,NA,NA,NA,NA,NA,9.802,13.553,14.0615,7.9535,NA,male,length
M32,0.0760000000000023,0.263999999999999,-0.802,-0.156000000000002,NA,NA,NA,NA,NA,9.839,12.431,17.241,9.801,NA,NA,NA,NA,NA,male,length
M33,NA,NA,NA,NA,-0.375999999999999,-0.469000000000003,-0.509,NA,NA,NA,NA,NA,NA,9.902,12.5395,12.4335,NA,NA,male,length
M34,NA,NA,NA,NA,-0.0909999999999993,-0.449999999999996,-0.665999999999997,NA,NA,NA,NA,NA,NA,9.9585,12.559,13.628,NA,NA,male,length
M35,NA,NA,NA,NA,-0.124000000000001,-0.626999999999999,-0.586999999999996,NA,NA,NA,NA,NA,NA,10.051,11.7925,12.1445,NA,NA,male,length
M36,NA,NA,NA,NA,-0.663999999999998,NA,NA,0.340999999999999,NA,NA,NA,NA,NA,9.894,NA,NA,6.9295,NA,male,length
M37,NA,NA,NA,NA,-0.575000000000001,-0.683999999999997,-0.254999999999997,-0.46,NA,NA,NA,NA,NA,10.2955,13.351,14.5005,7.298,NA,male,length
M38,NA,NA,NA,NA,-0.521000000000001,-0.407000000000002,NA,-0.385999999999998,NA,NA,NA,NA,NA,9.9955,11.5785,NA,6.645,NA,male,length
M39,NA,NA,NA,NA,-1.043,-0.149000000000001,0.00699999999999967,-0.547,NA,NA,NA,NA,NA,10.0375,12.4895,12.2675,7.1095,NA,male,length
M4,0.589,0.220000000000001,-0.148000000000001,-0.328999999999999,-0.535999999999998,0.213999999999999,0.334999999999999,-0.17,NA,9.7235,11.638,15.666,7.7475,10.078,11.507,12.5205,7.149,NA,male,length
M40,NA,NA,NA,NA,-0.646000000000001,-0.44,NA,-0.304999999999999,NA,NA,NA,NA,NA,9.267,12.387,NA,6.5355,NA,male,length
M41,NA,NA,NA,NA,0.0190000000000001,-0.57,0.00799999999999734,NA,NA,NA,NA,NA,NA,10.7795,13.476,13.608,NA,NA,male,length
M42,-0.0639999999999983,0.399999999999999,-0.345000000000002,-0.346,NA,NA,NA,NA,NA,9.79,12.062,16.2865,8.34,NA,NA,NA,NA,NA,male,length
M43,NA,NA,NA,NA,-0.346000000000002,0.0850000000000009,-0.449000000000002,0.00300000000000189,NA,NA,NA,NA,NA,11.007,12.6155,13.7085,7.5195,NA,male,length
M5,0.494999999999997,0.751999999999997,-0.295999999999992,NA,-0.142000000000001,-0.189,0.23,0.0679999999999987,NA,10.3275,13.535,17.698,NA,10.385,13.0135,13.979,7.525,NA,male,length
M6,-0.325000000000001,0.341999999999997,-0.621999999999996,0.359999999999999,-0.696999999999996,-1.185,-0.105,-0.118000000000001,NA,10.5975,12.46,16.74,7.818,10.7945,13.1835,13.3635,7.513,NA,male,length
M7,0.270999999999999,0.522,NA,-0.438999999999999,-0.556000000000001,-0.200999999999999,-0.516999999999998,NA,NA,9.5795,11.032,NA,7.9065,9.356,11.5695,13.1915,NA,NA,male,length
M8,0.203000000000003,0.966999999999999,-1.257,0.267000000000001,-1.075,-1.258,-0.574000000000002,-0.0820000000000007,NA,9.0425,11.3395,16.4625,8.3465,9.3015,12.564,13.22,7.252,NA,male,length
M9,0.27,0.468,-0.446999999999999,NA,NA,NA,-0.112999999999998,NA,NA,11.615,14.097,18.4175,NA,NA,NA,12.2385,NA,NA,male,length
