Sex,Dimension,trait,mean_av,mean_av_se,mean_diff,mean_diff_se,n,skew,kurt,blank_1,da_ts,da_p,da_bonf,da_rank,da_alpha
female,breadth,mxp4,8.644901041666667,0.07739438499460789,-0.3678020833333334,0.045857364107096586,32,-2.0160881421028374,6.956102852087026,NA,-8.020567481252478,4.678534137015077e-9,0.00625,1,*
female,breadth,mxm1,9.792112903225807,0.06960193927930078,-0.21983870967741917,0.02828511127686268,31,0.23762638994524743,-0.20386688966858202,NA,-7.7722412871413376,1.1338106803439925e-8,0.0071428571428571435,2,*
female,breadth,mxm2,11.323975694444444,0.12144036656536672,-0.18431944444444448,0.030668334046893828,32,-0.05295345475974006,3.988050595490396,NA,-6.010089891502041,1.1923704340919705e-6,0.008333333333333333,3,*
female,breadth,mnm3,10.611625,0.1367976553883027,-0.19415000000000032,0.032028628230315985,20,-0.46964693924513073,0.15548356292872567,NA,-6.061764450349827,7.877766754799258e-6,0.01,4,*
female,breadth,mnm1,8.04145,0.08828044353381051,-0.1536999999999999,0.02672817358440144,20,-0.05772226954802111,-0.16726946256260744,NA,-5.7504864488645495,1.530861013220003e-5,0.0125,5,*
female,breadth,mnm2,9.9671875,0.11851306076933737,-0.19724999999999993,0.038154783448474845,16,-0.24576802468830855,-1.1387148846693351,NA,-5.169731870353062,1.1418345387795738e-4,0.016666666666666666,6,*
female,breadth,mnp4,6.908366666666667,0.09091554776492758,-0.07406666666666682,0.025411933204822275,15,-0.09640700845268636,0.18439362820417182,NA,-2.9146411675838824,0.01130996294568757,0.025,7,*
female,breadth,mxm3,11.458321895424836,0.11721855304584618,-0.10993790849673199,0.04261967170518707,34,-0.5140322084293872,-0.02204246146212574,NA,-2.5795109182727907,0.014536864950097213,0.05,8,*
female,length,mxp4,6.680673611111111,0.07800307374442216,-0.21714583333333337,0.0687052378514282,32,0.6178871406256088,2.1393819559611122,NA,-3.160542632905236,0.0035057690495338945,0.00625,1,*
female,length,mxm1,9.660612903225807,0.10392106368932712,-0.1330322580645162,0.04236638665265284,31,-0.53259041295208,0.9814966457178183,NA,-3.1400425803408982,0.0037777815202841526,0.0071428571428571435,2,*
