Sex,Dimension,trait,da,fa4a,exceeds
female,breadth,mnm1,0.1536999999999999,0.16630000000000003,FALSE
female,breadth,mnm2,0.19724999999999993,0.20200000000000018,FALSE
female,breadth,mnm3,0.19415000000000032,0.19785000000000022,FALSE
female,breadth,mnp4,0.07406666666666682,0.09233333333333343,FALSE
female,breadth,mxm1,0.21983870967741917,0.23358064516129032,FALSE
female,breadth,mxm2,0.18431944444444448,0.2073194444444445,FALSE
female,breadth,mxm3,0.10993790849673199,0.19935620915032656,FALSE
female,breadth,mxp4,0.3678020833333334,0.3678020833333334,FALSE
female,length,mxm1,0.1330322580645162,0.18961290322580646,FALSE
female,length,mxm2,0.16362152777777783,0.27355902777777796,FALSE
female,length,mxp4,0.21714583333333337,0.3311666666666666,FALSE
male,breadth,mnm1,0.2806993464052291,0.2806993464052291,FALSE
male,breadth,mnm2,0.32681249999999995,0.3651875,FALSE
male,breadth,mnm3,0.38071428571428545,0.38071428571428545,FALSE
male,breadth,mnp4,0.20326666666666668,0.20326666666666668,FALSE
male,breadth,mxm1,0.14821180555555524,0.16458680555555527,FALSE
male,breadth,mxm2,0.2624571428571431,0.28565714285714316,FALSE
male,breadth,mxm3,0.17155555555555524,0.2189084967320258,FALSE
male,breadth,mxp4,0.2579655172413794,0.28279310344827574,FALSE
male,length,mnm1,0.3037712418300654,0.36770588235294127,FALSE
male,length,mnm2,0.5893749999999998,0.5893749999999998,FALSE
male,length,mnm3,0.5437857142857146,0.5876428571428576,FALSE
male,length,mxm1,0.48988552188552165,0.5049764309764307,FALSE
male,length,mxm2,0.4495428571428573,0.48462857142857163,FALSE
male,length,mxm3,0.2238686868686868,0.3532828282828283,FALSE
