Sex,Dimension,trait,sides_ms,sides_df,ind_ms,ind_df,sxi_ms,sxi_df,me_ms,me_df,sides_f,sides_p,ind_f,ind_p,fa_me_f,fa_me_p,anova_bonf,anova_rank,anova_alpha,pct_me,n_reps,fa10_noME,fa10_df
female,breadth,mxm1,0.0783189150711747,1,0.031286921110285734,30,0.0012715126886056552,30,8.790020276441517e-5,558,61.59507158128282,9.295457689056813e-9,24.606062834178296,3.45088703919074e-14,14.465412463421579,5.6184885824929964e-52,0.008333333333333333,1,*,6.913041729910443,10,1.18361248584124e-4,25.98886791718442
female,breadth,mxm3,0.015036072901908169,1,0.07446857176697096,33,0.0023494918680294777,33,1.885078098339405e-4,610,6.399712681073864,0.016370406316665614,31.695607369532144,3.858743632337226e-17,12.463631454310471,4.126883934152556e-49,0.01,2,*,8.023343787609798,9.970588235294118,2.167358642438002e-4,27.90730864555556
female,breadth,mnm1,0.03679654318977462,1,0.04898764910270061,19,0.0011451119807058424,19,1.311747303689975e-4,360,32.133576287528996,1.8265929324677605e-5,42.779789163069296,1.0145178686353099e-11,8.729669026073973,2.2531838756579314e-20,0.0125,3,*,11.455188014725156,10,1.013937250336845e-4,14.886039654617347
female,breadth,mnm2,0.03239941393187374,1,0.04638121243457054,15,0.0012677316157896714,15,1.199710732338834e-4,288,25.55699765497456,1.422779382243416e-4,36.58598701561894,4.3791548681655716e-09,10.566977368938185,3.310715887922123e-20,0.016666666666666666,4,*,9.46344413436067,10,1.1477605425557882e-4,12.289569556319202
female,breadth,mnm3,0.033647432410389075,1,0.06536956864878851,19,9.183078313385356e-4,19,1.4892130022362089e-4,360,36.64068982330708,8.022555861942469e-6,71.184810167093,9.410550796725422e-14,6.1663968146907155,1.1116283162762223e-13,0.025,5,*,16.216925865322477,10,7.693865311149147e-5,13.318760287961346
female,breadth,mnp4,0.00879204525740915,1,0.053346162138462154,14,0.0010703685740017824,14,1.9909882807427209e-4,270,8.214035306117376,0.012450271578931724,49.839058651560634,1.7616834483526923e-9,5.376066671786188,4.761015170695536e-9,0.05,6,*,18.600959791812848,10,8.712697459275103e-5,9.259513199174817
female,length,mxp4,0.16532812978887174,1,0.08646501811926936,31,0.01634537865263354,31,4.887357767701822e-4,572,10.114671143591668,0.0033304049536764654,5.289875502843628,6.184389807104516e-6,33.444203247513876,1.1578735860610945e-107,0.00625,1,*,2.990054786472859,9.9375,0.0015956370189548032,29.17246785375098
female,length,mxm3,0.0020643517999386586,1,0.07074826751366091,32,0.0025051076101498247,32,2.278820241370142e-4,601,0.8240571349408796,0.37078253647087644,28.241608155679035,6.440762013390116e-16,10.99300227666763,4.306973853205715e-42,0.0071428571428571435,2,*,9.0966960147227,10.106060606060606,2.253326666819273e-4,26.431268587969825
female,length,mxm2,0.02989049390359279,1,0.10463542542693033,31,0.003464977003678065,31,3.0673617253847293e-4,574,8.626462418614642,0.006198861148470094,30.198014392551542,6.796949117154188e-16,11.296277758840015,6.9587553043935e-42,0.008333333333333333,3,*,8.852473543485951,9.96875,3.1681412726165185e-4,25.74350640508949
female,length,mnp4,0.020696260352670817,1,0.0357328156549595,14,0.009493744807573461,14,3.9809718282543473e-4,270,2.179989116219003,0.1619527485629317,3.7638272756662152,0.009236174961596465,23.847807061062426,1.859754742564616e-39,0.01,4,*,4.193257675389168,10,9.095647624748026e-4,12.849333109507281
